Reference, Value, Footprint, Datasheet
U1,LD1117S33CTR,TO_SOT_Packages_SMD:SOT-223,
C1,10uF,Capacitors_SMD:C_0805,
U2,CH340G,SMD_Packages:SO-16-N,
C4,22pF,Capacitors_SMD:C_0805,
C3,22pF,Capacitors_SMD:C_0805,
U3,ESP-12,IoT-Launch-Kit:ESP-12,
C5,100uF,Capacitors_Tantalum_SMD:TantalC_SizeD_EIA-7343_Reflow,
R2,10k,Resistors_SMD:R_0603,
R1,10k,Resistors_SMD:R_0603,
R3,10k,Resistors_SMD:R_0603,
R4,10k,Resistors_SMD:R_0603,
D1,LED_RGB,IoT-Launch-Kit:LED-RGB-5050,
R5,300R,Resistors_SMD:R_0603,
R6,300R,Resistors_SMD:R_0603,
R7,300R,Resistors_SMD:R_0603,
U5,LM75A,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
SW1,SPST,Buttons_Switches_SMD:SW_SPST_FSMSM,
Q2,S8050,TO_SOT_Packages_SMD:SOT-23,
Q1,S8050,TO_SOT_Packages_SMD:SOT-23,
R8,10k,Resistors_SMD:R_0603,
R9,10k,Resistors_SMD:R_0603,
X1,CRYSTAL_SMD,Crystals:crystal_FA238-TSX3225,
C2,10uF,Capacitors_SMD:C_0805,
P3,USB_A,IoT-Launch-Kit:USB_A,
P1,CONN_01X08,Pin_Headers:Pin_Header_Straight_1x08,
P2,CONN_01X08,Pin_Headers:Pin_Header_Straight_1x08,
R10,10k,Resistors_SMD:R_0603,
